Customer,Category,Product,Quantity,Price,Total_Sales,Date
Alice,Home Goods,Vacuum Cleaner,10.0,477.62,4776.2,2023-12-02
Alice,Apparel,Shoes,8.0,190.14,1521.12,2023-03-20
Frank,Home Goods,Toaster,5.0,350.86,1754.3,2023-06-07
Bob,Toys,Puzzle,9.0,478.4,4305.6,2023-07-20
Bob,Electronics,Laptop,6.0,,0.0,2023-04-28
Emma,Automotive,Spark Plug,2.0,298.35,596.7,2023-02-16
Frank,Automotive,Oil Filter,4.0,361.43,1445.72,2023-03-27
David,Home Goods,Toaster,3.0,26.55,79.65,2023-04-19
Emma,Apparel,Shoes,9.0,79.68,717.12,2023-10-31
Frank,Automotive,Tire,5.0,461.1,2305.5,2023-09-07
Frank,Toys,Toy Car,5.0,220.91,1104.55,2023-11-10
Hannah,Electronics,Smartphone,3.0,498.72,1496.16,2023-06-27
Emma,Toys,Board Game,4.0,242.01,968.04,2023-11-04
Charlie,Home Goods,Blender,3.0,363.7,0.0,2023-05-02
Emma,Home Goods,Blender,9.0,333.96,0.0,2023-11-26
Alice,Toys,Action Figure,9.0,188.27,1694.43,2023-01-13
Emma,Home Goods,Toaster,9.0,247.28,2225.52,2023-05-14
Charlie,Apparel,Shoes,4.0,212.95,851.8,2023-03-24
Hannah,Apparel,Shirt,4.0,102.1,408.4,2023-06-06
David,Electronics,Headphones,4.0,297.46,1189.84,2023-03-08
Hannah,Automotive,Car Battery,6.0,328.97,1973.82,2023-04-06
Grace,Apparel,Shirt,1.0,207.61,207.61,2023-05-30
Hannah,Toys,Toy Car,5.0,320.45,1602.25,2023-04-27
David,Toys,Puzzle,3.0,5.49,0.0,2023-09-01
Charlie,Toys,Action Figure,4.0,186.22,744.88,2023-08-31
Bob,Electronics,Laptop,3.0,256.01,0.0,2023-05-13
Hannah,Electronics,Smartphone,,135.69,0.0,2023-11-21
Grace,Electronics,Tablet,8.0,402.74,3221.92,2023-11-05
Alice,Home Goods,Blender,5.0,451.79,2258.95,2023-05-06
Charlie,Electronics,Tablet,6.0,149.71,0.0,2023-07-10
Bob,Toys,Action Figure,10.0,408.6,4086.0,2023-03-02
Bob,Toys,Puzzle,6.0,449.34,0.0,2023-05-23
Hannah,Toys,Toy Car,4.0,161.54,646.16,2023-05-13
Alice,Automotive,Oil Filter,1.0,190.32,190.32,2023-04-02
Bob,Toys,Toy Car,8.0,249.83,1998.64,2023-05-08
Frank,Toys,Board Game,5.0,205.22,0.0,2023-06-20
Grace,Toys,Board Game,9.0,88.67,798.03,2023-02-03
Bob,Automotive,Oil Filter,10.0,,0.0,2023-12-24
Emma,Automotive,Car Battery,6.0,23.53,141.18,2023-10-29
Hannah,Apparel,Shirt,5.0,481.49,2407.45,2023-01-02
Frank,Electronics,Tablet,5.0,474.57,2372.85,2023-03-31
Emma,Toys,Toy Car,6.0,386.04,2316.24,2023-06-27
Bob,Electronics,Tablet,2.0,233.67,467.34,2023-06-05
Emma,Automotive,Car Battery,5.0,468.94,2344.7,2023-03-08
Bob,Toys,Puzzle,8.0,445.86,3566.88,2023-11-07
Alice,Automotive,Tire,1.0,364.64,0.0,2023-11-30
Emma,Automotive,Car Battery,10.0,125.33,0.0,2023-12-15
Alice,Electronics,Tablet,5.0,91.04,455.2,2023-05-07
Frank,Home Goods,Toaster,9.0,396.73,3570.57,2023-05-02
David,Automotive,Oil Filter,2.0,209.38,418.76,2023-06-24
David,Home Goods,Toaster,6.0,,0.0,2023-06-11
Bob,Electronics,Laptop,7.0,114.15,0.0,2023-02-19
Hannah,Electronics,Tablet,10.0,,0.0,2023-05-27
Bob,Apparel,Shirt,1.0,450.5,450.5,2023-12-16
Emma,Electronics,Laptop,2.0,148.0,0.0,2023-12-09
Emma,Toys,Board Game,4.0,150.79,603.16,2023-08-11
Emma,Home Goods,Blender,6.0,435.51,0.0,2023-10-04
Bob,Home Goods,Microwave,4.0,487.35,1949.4,2023-12-10
Alice,Automotive,Spark Plug,7.0,61.67,0.0,2023-03-13
David,Home Goods,Vacuum Cleaner,9.0,207.19,1864.71,2023-12-24
Frank,Electronics,Tablet,8.0,91.74,733.92,2023-04-12
Hannah,Electronics,Tablet,2.0,418.02,836.04,2023-04-03
Emma,Automotive,Spark Plug,4.0,38.06,152.24,2023-06-26
David,Electronics,Laptop,2.0,298.11,596.22,2023-11-06
Emma,Apparel,Shirt,1.0,55.04,0.0,2023-08-30
Grace,Home Goods,Microwave,1.0,407.36,407.36,2023-03-06
Bob,Apparel,Pants,5.0,66.5,332.5,2023-09-02
Emma,Electronics,Laptop,7.0,426.26,2983.82,2023-05-03
Charlie,Toys,Toy Car,5.0,496.36,0.0,2023-11-22
Grace,Automotive,Tire,5.0,9.57,0.0,2023-03-05
Emma,Toys,Puzzle,8.0,92.77,742.16,2023-06-21
Bob,Home Goods,Blender,9.0,367.63,3308.67,2023-05-01
Charlie,Automotive,Car Battery,2.0,346.94,693.88,2023-04-06
Frank,Apparel,Pants,2.0,43.42,86.84,2023-03-27
Emma,Apparel,Shirt,1.0,,0.0,2023-12-12
Frank,Automotive,Oil Filter,9.0,6.53,58.77,2023-05-12
Emma,Electronics,Tablet,3.0,386.55,1159.65,2023-05-19
Frank,Electronics,Smartphone,9.0,368.58,3317.22,2023-11-19
Hannah,Toys,Board Game,10.0,418.47,4184.7,2023-07-19
Alice,Electronics,Laptop,,336.15,0.0,2023-12-04
Frank,Electronics,Smartphone,4.0,342.32,1369.28,2023-10-21
Bob,Apparel,Shirt,3.0,18.52,55.56,2023-09-16
David,Electronics,Laptop,9.0,18.09,162.81,2023-09-11
Grace,Home Goods,Blender,5.0,242.13,1210.65,2023-12-04
David,Automotive,Car Battery,8.0,258.66,2069.28,2023-04-15
Charlie,Toys,Action Figure,10.0,162.66,1626.6,2023-08-17
Emma,Toys,Toy Car,10.0,498.85,4988.5,2023-03-07
David,Apparel,Shoes,10.0,477.64,4776.4,2023-06-03
Emma,Toys,Toy Car,7.0,221.97,1553.79,2023-04-03
Charlie,Home Goods,Vacuum Cleaner,4.0,361.17,1444.68,2023-12-10
Charlie,Toys,Action Figure,1.0,252.6,252.6,2023-09-23
Charlie,Toys,Puzzle,3.0,410.48,1231.44,2023-05-14
Grace,Apparel,Pants,9.0,8.51,76.59,2023-11-12
Hannah,Automotive,Spark Plug,6.0,94.24,565.44,2023-01-03
Frank,Automotive,Spark Plug,2.0,380.79,761.58,2023-03-12
Hannah,Electronics,Laptop,4.0,,0.0,2023-05-06
Emma,Apparel,Shirt,5.0,199.65,998.25,2023-08-04
Grace,Toys,Toy Car,10.0,288.04,2880.4,2023-08-16
Alice,Automotive,Spark Plug,,483.63,0.0,2023-08-05
Hannah,Electronics,Headphones,2.0,,0.0,2023-06-11
Emma,Automotive,Car Battery,,208.65,0.0,2023-10-28
Emma,Home Goods,Toaster,10.0,77.97,779.7,2023-04-13
Frank,Electronics,Tablet,5.0,114.66,573.3,2023-05-17
Bob,Apparel,Pants,6.0,41.59,0.0,2023-02-27
Charlie,Home Goods,Toaster,10.0,135.38,1353.8,2023-05-27
Grace,Apparel,Pants,7.0,50.11,350.77,2023-03-02
Charlie,Automotive,Car Battery,4.0,35.53,142.12,2023-11-02
Bob,Electronics,Headphones,7.0,96.77,677.39,2023-11-13
Emma,Electronics,Headphones,1.0,440.16,0.0,2023-02-19
Emma,Automotive,Car Battery,5.0,301.1,1505.5,2023-04-24
Charlie,Home Goods,Blender,3.0,405.15,1215.45,2023-08-23
Frank,Electronics,Laptop,1.0,42.68,42.68,2023-02-26
David,Apparel,Pants,6.0,315.25,1891.5,2023-02-09
Hannah,Home Goods,Toaster,8.0,205.03,1640.24,2023-12-31
Frank,Home Goods,Vacuum Cleaner,5.0,217.52,1087.6,2023-01-21
David,Electronics,Laptop,9.0,398.24,3584.16,2023-08-21
Bob,Automotive,Oil Filter,4.0,95.16,380.64,2023-04-19
Charlie,Electronics,Laptop,4.0,425.74,1702.96,2023-03-19
Bob,Electronics,Tablet,3.0,285.82,857.46,2023-12-13
Emma,Automotive,Tire,7.0,249.77,1748.39,2023-01-02
Alice,Apparel,Jacket,10.0,56.27,0.0,2023-02-19
Emma,Apparel,Shoes,9.0,185.21,1666.89,2023-06-28
Hannah,Automotive,Car Battery,9.0,153.53,1381.77,2023-05-20
David,Automotive,Oil Filter,6.0,109.87,659.22,2023-05-07
Emma,Toys,Action Figure,3.0,383.57,1150.71,2023-12-31
Hannah,Toys,Action Figure,2.0,395.51,791.02,2023-05-01
Hannah,Automotive,Spark Plug,7.0,299.78,0.0,2023-05-16
Hannah,Apparel,Pants,4.0,444.4,0.0,2023-03-20
David,Home Goods,Vacuum Cleaner,3.0,472.84,0.0,2023-02-17
Charlie,Apparel,Shoes,10.0,56.37,0.0,2023-05-13
Charlie,Home Goods,Toaster,5.0,338.24,1691.2,2023-08-15
Alice,Automotive,Tire,3.0,277.52,832.56,2023-02-24
Grace,Automotive,Car Battery,5.0,314.28,1571.4,2023-09-05
Bob,Toys,Board Game,2.0,,0.0,2023-05-28
Alice,Automotive,Spark Plug,10.0,,0.0,2023-08-19
Frank,Toys,Board Game,8.0,116.24,929.92,2023-03-20
Emma,Toys,Action Figure,10.0,355.49,0.0,2023-09-01
Emma,Apparel,Shirt,6.0,236.79,1420.74,2023-06-04
Grace,Automotive,Spark Plug,2.0,,0.0,2023-04-24
Frank,Home Goods,Microwave,3.0,187.99,563.97,2023-06-23
Bob,Apparel,Shirt,3.0,147.84,443.52,2023-09-09
Bob,Apparel,Pants,10.0,146.63,1466.3,2023-10-28
David,Electronics,Smartphone,2.0,19.39,38.78,2023-02-09
Bob,Automotive,Tire,6.0,321.3,1927.8,2023-05-30
Charlie,Toys,Action Figure,5.0,391.35,0.0,2023-11-10
Bob,Apparel,Shoes,1.0,30.47,30.47,2023-02-17
Alice,Electronics,Smartphone,,208.95,0.0,2023-05-30
Bob,Electronics,Laptop,9.0,143.51,0.0,2023-08-11
Emma,Toys,Board Game,6.0,378.92,0.0,2023-09-11
David,Home Goods,Toaster,9.0,95.53,859.77,2023-12-05
Hannah,Electronics,Laptop,6.0,38.08,228.48,2023-05-31
Hannah,Automotive,Tire,5.0,245.77,0.0,2023-06-03
Bob,Apparel,Jacket,8.0,225.14,1801.12,2023-05-29
Emma,Home Goods,Toaster,7.0,49.64,347.48,2023-09-05
Bob,Apparel,Jacket,2.0,31.49,62.98,2023-06-14
Charlie,Electronics,Tablet,6.0,227.0,1362.0,2023-10-16
Hannah,Apparel,Jacket,9.0,397.39,3576.51,2023-07-06
Bob,Electronics,Tablet,3.0,88.55,265.65,2023-05-31
Grace,Automotive,Oil Filter,4.0,499.33,0.0,2023-11-19
Frank,Toys,Action Figure,4.0,364.18,1456.72,2023-05-05
